model,split,MthCalDt,rank_ic_t,num_obs
mlp_er_train,test,2021-02-26,0.23575994532876515,8055
mlp_er_train,test,2021-03-31,0.24912576034865505,8212
mlp_er_train,test,2021-04-30,0.1499039369912842,8360
mlp_er_train,test,2021-05-28,-0.14429459159972274,8479
mlp_er_train,test,2021-06-30,0.36386909796824557,8587
mlp_er_train,test,2021-07-30,0.08157059162704032,8722
mlp_er_train,test,2021-08-31,0.044421962899468086,8776
mlp_er_train,test,2021-09-30,0.2677034780539709,8872
mlp_er_train,test,2021-10-29,0.278818033137695,8968
mlp_er_train,test,2021-11-30,0.40690301228677467,9068
mlp_er_train,test,2021-12-31,0.08924364784031975,9189
mlp_er_train,test,2022-01-31,0.09648457809964976,9272
mlp_er_train,test,2022-02-28,0.09849053575537775,9347
mlp_er_train,test,2022-03-31,0.22509704781338655,9382
mlp_er_train,test,2022-04-29,0.15991398181634842,9421
mlp_er_train,test,2022-05-31,-0.12641338843197025,9432
mlp_er_train,test,2022-06-30,-0.0014634024592110292,9457
mlp_er_train,test,2022-07-29,0.005940254109371965,9458
mlp_er_train,test,2022-08-31,0.2668002693837048,9469
mlp_er_train,test,2022-09-30,0.24708642793202962,9495
mlp_er_train,test,2022-10-31,0.11932064588336526,9483
mlp_er_train,test,2022-11-30,0.1718916207292774,9465
mlp_er_train,test,2022-12-30,-0.009617405161905028,9402
mlp_er_train,test,2023-01-31,0.04101953264202614,9376
mlp_er_train,test,2023-02-28,0.1503956913953896,9352
mlp_er_train,test,2023-03-31,0.06666256603811796,9324
mlp_er_train,test,2023-04-28,-0.046181085329738365,9298
mlp_er_train,test,2023-05-31,0.2014565333480045,9304
mlp_er_train,test,2023-06-30,0.08798727936299504,9291
mlp_er_train,test,2023-07-31,0.21468410468835028,9265
mlp_er_train,test,2023-08-31,0.19114799617911996,9278
mlp_er_train,test,2023-09-29,0.10498056839412308,9318
mlp_er_train,test,2023-10-31,0.12344346182365969,9331
mlp_er_train,test,2023-11-30,0.01654125602265917,9327
mlp_er_train,test,2023-12-29,0.10468327962997725,9309
mlp_er_train,test,2024-01-31,0.05908514833108776,9367
mlp_er_train,test,2024-02-29,0.21922999404951227,9327
mlp_er_train,test,2024-03-28,0.03281531827233437,9334
mlp_er_train,test,2024-04-30,0.1497140274591872,9344
mlp_er_train,test,2024-05-31,-0.027842029899613544,9372
mlp_er_train,test,2024-06-28,0.14335672415524278,9404
mlp_er_train,test,2024-07-31,-0.014958807046300635,9436
mlp_er_train,test,2024-08-30,0.10111616003833565,9439
mlp_er_train,test,2024-09-30,0.0654048834666923,9542
mlp_er_train,test,2024-10-31,0.19066174525371962,9583
mlp_er_train,validation,2010-12-31,0.03853325180192715,6508
mlp_er_train,validation,2011-01-31,0.13519907063669007,6534
mlp_er_train,validation,2011-02-28,0.09895155393834455,6533
mlp_er_train,validation,2011-03-31,0.09507946470257363,6542
mlp_er_train,validation,2011-04-29,-0.11580182369874224,6561
mlp_er_train,validation,2011-05-31,-0.06264564030629721,6593
mlp_er_train,validation,2011-06-30,-0.07916592414766783,6612
mlp_er_train,validation,2011-07-29,-0.16569452559853373,6621
mlp_er_train,validation,2011-08-31,-0.11790168292054216,6621
mlp_er_train,validation,2011-09-30,0.33664541513782653,6627
mlp_er_train,validation,2011-10-31,-0.16695113218511373,6612
mlp_er_train,validation,2011-11-30,0.09763586300470357,6610
mlp_er_train,validation,2011-12-30,0.1997192186158428,6604
mlp_er_train,validation,2012-01-31,0.055821058090267606,6625
mlp_er_train,validation,2012-02-29,0.1301727605366679,6651
mlp_er_train,validation,2012-03-30,-0.15158073341965617,6663
mlp_er_train,validation,2012-04-30,-0.33603193537109133,6681
mlp_er_train,validation,2012-05-31,0.0375410106470331,6689
mlp_er_train,validation,2012-06-29,-0.11290624179839955,6667
mlp_er_train,validation,2012-07-31,0.09852202990315663,6669
